paperId,title,year,venue,fieldsOfStudy
a92b103b81a48878e76f1fcfc3e2a1454f895555,Neural networks and Deep Learning,2016.0,Machine Learning Guide for Oil and Gas Using Python,Computer Science
effa7077e6580a8ab22c30d3c876744b4e51cd6e,"Deep learning, reinforcement learning, and world models",2022.0,Neural Networks,"Computer Science,Medicine"
c5420ef59d7508d82e53671b0d623027eb58e6ed,Learning to Reweight Examples for Robust Deep Learning,2018.0,International Conference on Machine Learning,"Computer Science,Mathematics"
fd9541fe4317904b9a0637b6505fb0bea0979491,Comprehensive Privacy Analysis of Deep Learning: Passive and Active White-box Inference Attacks against Centralized and Federated Learning,2018.0,IEEE Symposium on Security and Privacy,"Computer Science,Mathematics"
4c05d7caa357148f0bbd61720bdd35f0bc05eb81,Dueling Network Architectures for Deep Reinforcement Learning,2015.0,International Conference on Machine Learning,Computer Science
1e03bdf8b86d2969fff11277f9e3dcbfac132e28,Deep learning in environmental remote sensing: Achievements and challenges,2020.0,Remote Sensing of Environment,Computer Science
d81fc968196e06ccafd7ea4c008b13e1cad1be64,An End-to-End Deep Learning Architecture for Graph Classification,2018.0,AAAI Conference on Artificial Intelligence,Computer Science
0311ace1d499cadd1cc0c515a625d1d045f60d25,Deep Learning for 3D Point Clouds: A Survey,2019.0,IEEE Transactions on Pattern Analysis and Machine Intelligence,"Computer Science,Medicine,Engineering"
f0c5991dbb130fa6b5de011cf7a04f6ed815ef68,Robust Physical-World Attacks on Deep Learning Visual Classification,2018.0,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,Computer Science
a29b7a000e6e1a2907ce6ae24a03aba5d9ef873f,"Deep Convolutional Neural Networks for Computer-Aided Detection: CNN Architectures, Dataset Characteristics and Transfer Learning",2016.0,IEEE Transactions on Medical Imaging,"Computer Science,Medicine"
155f27879f185f1ab04107c91c2ae7cf6a910a03,Deep Learning for Image Super-Resolution: A Survey,2019.0,IEEE Transactions on Pattern Analysis and Machine Intelligence,"Computer Science,Medicine"
1163d1ffeb57695dafe7084a63dafd5d34004db5,Overview of the TREC 2019 deep learning track,2020.0,arXiv.org,Computer Science
dbfb6d39a242d330fb082a503cbcee7ab7f57672,DGM: A deep learning algorithm for solving partial differential equations,2017.0,Journal of Computational Physics,"Economics,Mathematics,Computer Science"
e2c8726d092aea573e69f5b0a2654225883cfacf,Horovod: fast and easy distributed deep learning in TensorFlow,2018.0,arXiv.org,"Computer Science,Mathematics"
9eebd3c7971a239cf69a0358563f397bd8a8f99c,Hands-On Bayesian Neural Networks—A Tutorial for Deep Learning Users,2020.0,IEEE Computational Intelligence Magazine,"Computer Science,Mathematics"
42d3ae61ca296558cba61446bd95b8a6e5b1082d,Predicting the sequence specificities of DNA- and RNA-binding proteins by deep learning,2015.0,Nature Biotechnology,"Biology,Medicine"
b514949ad8344071c0f342f182390d2d88bcc26d,Threat of Adversarial Attacks on Deep Learning in Computer Vision: A Survey,2018.0,IEEE Access,Computer Science
7f002c2059f0714b5423f084913e54a50fe1ac58,Deep learning for electroencephalogram (EEG) classification tasks: a review,2019.0,Journal of Neural Engineering,"Medicine,Physics,Computer Science"
68ff94fd4c6c93b2da78adcda53ff49ded9f8b2a,ADMM-CSNet: A Deep Learning Approach for Image Compressive Sensing,2020.0,IEEE Transactions on Pattern Analysis and Machine Intelligence,"Medicine,Computer Science"
75ea299834d6949e89e91d006677343ddab44e49,Deep Learning-based Detection for COVID-19 from Chest CT using Weak Label,2020.0,medRxiv,"Medicine,Computer Science"
1ed33896e82cc3810b349cdffc2039f0b8edd82e,Deep learning and its applications to machine health monitoring,2019.0,Mechanical systems and signal processing,Computer Science
f49f37c23158f8b698545e6f0a25877b39601ce8,Review of Deep Learning Algorithms and Architectures,2019.0,IEEE Access,Computer Science
7a3a1e0448bf6a21b46d7381696a0a558bb82f04,The class imbalance problem in deep learning,2022.0,Machine-mediated learning,Computer Science
cc145f046788029322835979a14459652da7247e,This looks like that: deep learning for interpretable image recognition,2018.0,Neural Information Processing Systems,"Computer Science,Mathematics"
530a4ab0308bc98995ffd64207135ca0ae36db7f,Privacy-Preserving Deep Learning via Additively Homomorphic Encryption,2018.0,IEEE Transactions on Information Forensics and Security,Computer Science
29409efa04ac99ccf01d2a011d21d5d14e870000,Artificial intelligence to deep learning: machine intelligence approach for drug discovery,2021.0,Molecular diversity,Medicine
e3e08c64cfe155e1061e8ef235491efed35eb37f,Deep Learning for Sensor-based Human Activity Recognition,2020.0,ACM Computing Surveys,Computer Science
8dd53f10ca5fa14faeed2bd2951d247f1ac60f40,A State-of-the-Art Survey on Deep Learning Theory and Architectures,2019.0,Electronics,Computer Science
255e6239bcc51047d020d41ce0179c1270f3c22f,"Towards Understanding Ensemble, Knowledge Distillation and Self-Distillation in Deep Learning",2020.0,International Conference on Learning Representations,"Computer Science,Mathematics"
a595767fa35bcc84362f629fbc4d2d9b05d7342a,A survey of deep learning techniques for autonomous driving,2019.0,J. Field Robotics,Computer Science
f2f8f7a2ec1b2ede48cbcd189b376ab9fa0735ef,Privacy-preserving deep learning,2015.0,"Allerton Conference on Communication, Control, and Computing",Computer Science
3a2746e6f559cda514fcfa5068fbd6a96069192e,Deep learning with coherent nanophotonic circuits,2016.0,Nature Photonics,"Physics,Computer Science"
07cca761749bfe21c2d096ff60f32b574d5c84c4,Normalized Loss Functions for Deep Learning with Noisy Labels,2020.0,International Conference on Machine Learning,"Computer Science,Mathematics"
af9280741ef627f0d6c8437605d002d3bfc2d1b1,Bayesian Deep Learning and a Probabilistic Perspective of Generalization,2020.0,Neural Information Processing Systems,"Computer Science,Mathematics"
d12fd94337ac804470dc78911e74b5b6480eef8e,Pitfalls of In-Domain Uncertainty Estimation and Ensembling in Deep Learning,2020.0,International Conference on Learning Representations,"Computer Science,Mathematics"
7d873a9c49d3864709aa762f8740edcdbd7369c5,Deep learning in histopathology: the path to the clinic,2021.0,Nature Network Boston,Medicine
5c107f5aa33e3e5d3b3ea9dc17e04a51765b0983,A review of medical image data augmentation techniques for deep learning applications,2021.0,Journal of Medical Imaging and Radiation Oncology,Medicine
b415adc22ac3133c82078c987303c422c56b3b5e,Plant diseases and pests detection based on deep learning: a review,2021.0,Plant Methods,Medicine
775247047d0b56950ba5ea77d4a29772eca95c1b,Deep Learning for Anomaly Detection,2020.0,ACM Computing Surveys,"Computer Science,Mathematics"
3337e4b2e63e5e99171f9da9d161771f5810c27a,A Review of Deep-Learning-Based Medical Image Segmentation Methods,2021.0,Sustainability,Computer Science
49eaad7ef73c51f896f2e05c670747a750281658,Plant Disease Detection and Classification by Deep Learning—A Review,2021.0,IEEE Access,Computer Science
59106abf8f69046e7b97968e71e2a5c2ba72599d,DeepSMOTE: Fusing Deep Learning and SMOTE for Imbalanced Data,2021.0,IEEE Transactions on Neural Networks and Learning Systems,"Computer Science,Medicine"
31852f9fc732c0868af12d631c72693702d80521,Text Data Augmentation for Deep Learning,2021.0,Journal of Big Data,"Computer Science,Medicine"
f0c27af6c330d5c3b0a8eb376a69ce92c85badd7,A Comprehensive Survey on Community Detection With Deep Learning,2021.0,IEEE Transactions on Neural Networks and Learning Systems,"Computer Science,Medicine"
a93632237958800217341d7bad847200afdd60e3,"Efficient Deep Learning: A Survey on Making Deep Learning Models Smaller, Faster, and Better",2021.0,ACM Computing Surveys,Computer Science
5f5e44c89229f6e5a048118832d8662a36fa857a,A Survey on Deep Learning for Data-Driven Soft Sensors,2021.0,IEEE Transactions on Industrial Informatics,Computer Science
902f154bffb1a0b725eb682699d2a65c5ce152d8,A comprehensive survey of recent trends in deep learning for digital images augmentation,2021.0,Artificial Intelligence Review,Medicine
b11468ed3a6215f1ee109fe5b2e0bd0e0e2f0eb1,Democratising deep learning for microscopy with ZeroCostDL4Mic,2021.0,Nature Communications,Medicine
2d8d74c7fd9375b17e9d6123773919b2aa512c56,"U-Net: deep learning for cell counting, detection, and morphometry",2018.0,Nature Methods,"Medicine,Computer Science"
4f71ab367eb37cfd145d41327f7bb14077e5e7c5,Deep Learning for Hyperspectral Image Classification: An Overview,2019.0,IEEE Transactions on Geoscience and Remote Sensing,"Computer Science,Engineering"
2b91a2cbcd9cce902cbc8da78fec5f18f4bffc98,Deep learning for sentiment analysis: A survey,2018.0,WIREs Data Mining Knowl. Discov.,"Computer Science,Mathematics"
0b24f27d920bd1d23c8f6a1ab2b603c5c14f0a36,Deep Learning applications for COVID-19,2021.0,Journal of Big Data,Medicine
7e3d4dc47ec284b94bd33af19070ae0c628dff0b,A Survey of Forex and Stock Price Prediction Using Deep Learning,2021.0,Applied System Innovation,Economics
594a91fe54eb44f0e5fffd35ab015a8456419d11,Activation Functions: Comparison of trends in Practice and Research for Deep Learning,2018.0,arXiv.org,"Computer Science,Mathematics"
40f56e1c57bdefb22a8b4a635ea40f7d37c72d27,Deep Learning Techniques for Medical Image Segmentation: Achievements and Challenges,2019.0,Journal of digital imaging,"Computer Science,Medicine"
5b5535418882e9543a33819592c5bf371e68b2c3,The Principles of Deep Learning Theory,2021.0,arXiv.org,"Computer Science,Physics,Mathematics"
e6c1b2cda9dc3fc31b94a3d8ac03ef83d1ce4e1d,Deep Learning-based Human Pose Estimation: A Survey,2020.0,ACM Computing Surveys,Computer Science
932b41cd3d904f3158daa352ddfc0ee454d4eb15,Model complexity of deep learning: a survey,2021.0,Knowledge and Information Systems,Computer Science
41c3624512a6b249444b374e5767c108fb240650,Geometric deep learning on molecular representations,2021.0,Nature Machine Intelligence,"Computer Science,Physics,Biology"
09e48adf1a3f012ec56fbb4f92acae975ee43d87,A Deep Learning Approach to Antibiotic Discovery,2020.0,Cell,Medicine
9954ec0a95fc0840f7712d7b0c67b242bb536a9e,A fully automatic deep learning system for COVID-19 diagnostic and prognostic analysis,2020.0,European Respiratory Journal,Medicine
e5cd9e7bd60954a0523cc849ad6c92c0ede2d271,Time Series Data Augmentation for Deep Learning: A Survey,2020.0,International Joint Conference on Artificial Intelligence,"Computer Science,Engineering,Mathematics"
5c8555bd08059cadb9423b8aa55b2ac6c29dde6b,DeepXplore: Automated Whitebox Testing of Deep Learning Systems,2017.0,Symposium on Operating Systems Principles,Computer Science
138fafc2d679bc6446ff74f55dfd316b0d5674b9,Evidential Deep Learning to Quantify Classification Uncertainty,2018.0,Neural Information Processing Systems,"Computer Science,Mathematics"
60f484f0769a2916fb6706160990a134f6b4ca0b,A review on deep learning in medical image analysis,2021.0,International Journal of Multimedia Information Retrieval,"Computer Science,Medicine"
bd17620c6cb5ca97ef773499223d1509d123745f,Dive into Deep Learning,2020.0,Journal of the American College of Radiology,"Computer Science,Medicine"
94deb62af3054c49e7d80bd7eb3ed5efe990fc0b,Traffic Flow Prediction With Big Data: A Deep Learning Approach,2015.0,IEEE transactions on intelligent transportation systems (Print),"Computer Science,Engineering"
f09f7888aa5aeaf88a2a44aea768d9a8747e97d2,Geometric Deep Learning on Graphs and Manifolds Using Mixture Model CNNs,2016.0,Computer Vision and Pattern Recognition,Computer Science
58365bf02bca57b63ce70c45332a7bac7f099a25,A Survey on ensemble learning under the era of deep learning,2021.0,Artificial Intelligence Review,Computer Science
2d0fd6eb86f2378262f2c2767e1362fc6a2e27fa,Deep learning in remote sensing applications: A meta-analysis and review,2019.0,Isprs Journal of Photogrammetry and Remote Sensing,Computer Science
8a5d0579590465494c9aba58a857af43b190b6a6,Deep Learning in Mobile and Wireless Networking: A Survey,2018.0,IEEE Communications Surveys and Tutorials,Computer Science
30b38ca8151bbd5a5ff45bce94297d1248ff58b5,Deep Learning on Graphs: A Survey,2018.0,IEEE Transactions on Knowledge and Data Engineering,"Computer Science,Mathematics"
3c623c08329e129e784a5d03f7606ec8feba3a28,Uncertainty in Deep Learning,2016.0,,Computer Science
77cec64cdf0581ff4e7b70aa595a4d6e39b70ce4,Keras: The Python Deep Learning library,2018.0,,Computer Science
21d08abf967d6ce56f72f96d8e87b2288f53a4ed,The Deep Ritz Method: A Deep Learning-Based Numerical Algorithm for Solving Variational Problems,2017.0,Communications in Mathematics and Statistics,"Computer Science,Mathematics"
e9126a98de0c39dcffe4c4f5158e037460196724,SchNet - A deep learning architecture for molecules and materials.,2017.0,Journal of Chemical Physics,"Physics,Computer Science,Chemistry,Medicine"
e018d3883c82c9f85a4c8b7698c3fe52cc40eb39,Predicting effects of noncoding variants with deep learning–based sequence model,2015.0,Nature Methods,"Medicine,Biology"
89365ef9f61a62ea610f210083d14f70b8ee2972,VulDeePecker: A Deep Learning-Based System for Vulnerability Detection,2018.0,Network and Distributed System Security Symposium,Computer Science
87d5b61f5b6fdb0a57fc66b5c5bb428c398eaa86,Deep learning for AI,2021.0,Communications of the ACM,Computer Science
498238a3bd5fd322fc3ce1572e33bbe3853a356f,Deep Reinforcement Learning: A Brief Survey,2017.0,IEEE Signal Processing Magazine,"Computer Science,Mathematics"
6b67e38e488cdb6a5af8ae44fdbb2c069c9cea0e,"Introduction to Machine Learning, Neural Networks, and Deep Learning",2020.0,Translational Vision Science & Technology,"Computer Science,Medicine"
728e0cdfdd5bb14b6eb74e7038ebcf5e975a4743,"Remote Sensing Image Scene Classification Meets Deep Learning: Challenges, Methods, Benchmarks, and Opportunities",2020.0,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,Computer Science
0600a8982abb5ce087efd6ded007c19e4bfcad5d,Deep Learning for Time Series Forecasting: A Survey,2020.0,Big Data,"Computer Science,Medicine"
129983331ca874142a3e8eb2d93d820bdf1f9aca,Deep Reinforcement Learning for Autonomous Driving: A Survey,2020.0,IEEE transactions on intelligent transportation systems (Print),Computer Science
e149e3b7cdda164b937a088b46a64a409aef1fac,Dropout vs. batch normalization: an empirical study of their impact to deep learning,2020.0,Multimedia tools and applications,Computer Science
a0d18dddaa995b126ad373e33767b9b881d16b2f,An Introductory Review of Deep Learning for Prediction Models With Big Data,2020.0,Frontiers in Artificial Intelligence,"Medicine,Computer Science"
d86c90698bef82f7a80ef2163f89a5b2a525b3d5,Sentiment Analysis Based on Deep Learning: A Comparative Study,2020.0,Electronics,Computer Science
f0ed174401beb546cf1034fe804b635125dfd52d,3D Deep Learning on Medical Images: A Review,2020.0,Italian National Conference on Sensors,"Medicine,Computer Science,Biology,Engineering"
91cfd15b587c5ed604e7e49326db6d045276c2a5,The Computational Limits of Deep Learning,2020.0,Ninth Computing within Limits 2023,"Computer Science,Mathematics"
af6af40155860ac2fd36680e63686473803b5f52,Explainable Deep Learning Models in Medical Image Analysis,2020.0,Journal of Imaging,"Computer Science,Engineering,Medicine"
3f08231000088a88abca7bcc7be1075e425b8bc5,On the use of deep learning for computational imaging,2020.0,NanoScience + Engineering,"Computer Science,Engineering"
e838ba98e198d2dac047736e77c50c0efa49c2dc,Data augmentation for improving deep learning in image classification problem,2018.0,2018 International Interdisciplinary PhD Workshop (IIPhDW),Computer Science
f4bfdae6c0ea3157d816cffae75443a40249de86,Early-Stage Lung Cancer Diagnosis by Deep Learning-Based Spectroscopic Analysis of Circulating Exosomes.,2020.0,ACS Nano,Medicine
7efe8ff7db9832d8123a29389b5bbb4903c77518,Model-Based Deep Learning,2020.0,Proceedings of the IEEE,"Engineering,Computer Science"
0e1f153576c7f9f2628cdd34a1067c4d26bdc096,"Explainable AI: Interpreting, Explaining and Visualizing Deep Learning",2019.0,Explainable AI,Computer Science
ffb8a99ef05f3254039d6dd0efefd52d92fb5f2f,A Review of Deep Learning on Medical Image Analysis,2020.0,Journal on spesial topics in mobile networks and applications,Computer Science
03a507a0876c7e1a26608358b1a9dd39f1eb08e0,Adversarial Examples: Attacks and Defenses for Deep Learning,2017.0,IEEE Transactions on Neural Networks and Learning Systems,"Computer Science,Mathematics,Medicine"
494e2d5b40dcebde349f9872c7317e5003f9c5d2,Learning hand-eye coordination for robotic grasping with deep learning and large-scale data collection,2016.0,Int. J. Robotics Res.,"Computer Science,Mathematics"
516e2710083c20762711d3f5a6cbc1657f625ca0,Deep learning for tomographic image reconstruction,2020.0,Nature Machine Intelligence,Computer Science
4c7c70760029e813ef76ea5a578174d2d3ec1490,A Survey on Deep Learning for Multimodal Data Fusion,2020.0,Neural Computation,"Computer Science,Medicine"
d0c7490ca113f57314b66751274e764dacfbfcc6,A Comprehensive Review of Deep Learning Applications in Hydrology and Water Resources,2020.0,Water Science and Technology,"Medicine,Physics,Computer Science,Mathematics"
59e0095a68dcd03192b39e29ab6a3dfc6fd0b7c3,Deep learning for the design of photonic structures,2020.0,Nature Photonics,Computer Science
405e366cb23ac90d6a7b3599d6da6af753a56692,Sentiment analysis on massive open online course evaluations: A text mining and deep learning approach,2020.0,Computer Applications in Engineering Education,Computer Science
eb8b18fa6a2c42b2c33395633508609e4ec9dcc5,LSTM network: a deep learning approach for short-term traffic forecast,2017.0,,Engineering
1243a54adbaadc28e972789e3484baf805f5c6fd,Solving high-dimensional partial differential equations using deep learning,2017.0,Proceedings of the National Academy of Sciences of the United States of America,"Mathematics,Computer Science,Medicine"
36aa6c01c9683783499395953c6bc856d6101feb,A Simple Baseline for Bayesian Uncertainty in Deep Learning,2019.0,Neural Information Processing Systems,"Computer Science,Mathematics"
9f36c22892afa9af64d8a5eed13d2d12bfefc64a,Machine and deep learning methods for radiomics.,2020.0,Medical Physics (Lancaster),"Computer Science,Medicine"
16c0ef924da1f6b510c9c783ac764156f5a3d631,A Survey on Deep Learning for Named Entity Recognition,2018.0,IEEE Transactions on Knowledge and Data Engineering,Computer Science
320f80bf1458e4312724d06557138e093ab4497c,Medical Image Segmentation Using Deep Learning: A Survey,2020.0,IET Image Processing,"Computer Science,Engineering"
9d3e0fce253a4ae4a4456b2f24c03329a2b74621,Deep Learning for Health Informatics,2017.0,IEEE journal of biomedical and health informatics,"Computer Science,Medicine"
4f71dc75896529d8653d8ef0ccc72bcce2c80e18,"Algorithm Unrolling: Interpretable, Efficient Deep Learning for Signal and Image Processing",2019.0,IEEE Signal Processing Magazine,"Engineering,Computer Science"
60df2f3598ea7d56ae24a649121907a6769eb444,Deep learning enabled inverse design in nanophotonics,2020.0,Nanophotonics,Computer Science
78f7c6818c97383b5ae4b61664ffc6cde7974466,A Deep Learning Approach to Network Intrusion Detection,2018.0,IEEE Transactions on Emerging Topics in Computational Intelligence,Computer Science
6e13e111e85d499d781386b182fd855fbb053771,Deep Learning Recommendation Model for Personalization and Recommendation Systems,2019.0,arXiv.org,Computer Science
00c4632d2d926acabc18574c9c5b870709ae9450,Learning IoT in Edge: Deep Learning for the Internet of Things with Edge Computing,2018.0,IEEE Network,Computer Science
441fbfdcc77187c9f9c41166b5fd42de04de1427,Deep learning in remote sensing: a review,2017.0,arXiv.org,"Computer Science,Engineering"
dc0c84b7c5e6521216da789f8171544709120cf0,Opportunities and obstacles for deep learning in biology and medicine,2017.0,bioRxiv,"Biology,Computer Science,Medicine"
340712391e245e245a76cd74523c1d6443035b62,The unreasonable effectiveness of deep learning in artificial intelligence,2020.0,Proceedings of the National Academy of Sciences of the United States of America,"Biology,Computer Science,Medicine"
4cfd770ccecae1c0b4248bc800d7fd35c817bbbd,A Discriminative Feature Learning Approach for Deep Face Recognition,2016.0,European Conference on Computer Vision,Computer Science
bc789aef715498e79a74f857fa090ece9e383bf1,Large Batch Optimization for Deep Learning: Training BERT in 76 minutes,2019.0,International Conference on Learning Representations,"Computer Science,Mathematics"
612cc29c22b544fc329ed17c8d5e3b86a8fa1cd3,Over-the-Air Deep Learning Based Radio Signal Classification,2017.0,IEEE Journal on Selected Topics in Signal Processing,"Computer Science,Engineering"
0ebc300c16f01a4e94c8551997922fdb67ac1951,An overview of deep learning in medical imaging focusing on MRI,2018.0,Zeitschrift für Medizinische Physik,"Computer Science,Medicine,Mathematics"
0f5c57903d7ce4d7e7651d19b9bcd8243b003e16,Power of Deep Learning for Channel Estimation and Signal Detection in OFDM Systems,2017.0,IEEE Wireless Communications Letters,"Computer Science,Mathematics"
54378aef6ec3423ad44d61de61b301be9f5c686d,Deep learning for visual understanding: A review,2016.0,Neurocomputing,Computer Science
65220c1f731aa091febdad76f378bba44a588530,Deep Learning for Change Detection in Remote Sensing Images: Comprehensive Review and Meta-Analysis,2020.0,IEEE Access,Computer Science
1e4709c0b8fe3bf759cd64dc1ede695d6e5316f0,Deep learning applications and challenges in big data analytics,2015.0,Journal of Big Data,Computer Science
701e59358fda0d865d7b26cd954a93a5ad20fd13,Deep learning with long short-term memory networks for financial market predictions,2017.0,European Journal of Operational Research,"Economics,Computer Science"
5027a03ff0330ae12db99c30db9e1fe907af6faf,Deep learning for multi-year ENSO forecasts,2019.0,Nature,"Computer Science,Medicine"
a8b382ced2293e3b191e73eca8e6c1e5a2eb11f3,A Deep Learning Approach to Antibiotic Discovery,2020.0,Cell,"Medicine,Biology"
d214ecf9084fc705b4e906a804d9e971d2166842,Deep Learning with Convolutional Neural Networks,2020.0,Mathematics and Programming for Machine Learning with R,Computer Science
af3825437b627db1a99f946f7aa773ba8b03befd,Learning deep representations by mutual information estimation and maximization,2018.0,International Conference on Learning Representations,"Computer Science,Mathematics"
fbf32abd431c70293f1ad1a9b85d4ecbe4e5d6ed,Adversarial Attacks and Defenses in Deep Learning,2020.0,Engineering,Computer Science
8f9d5f33413613c3ffd32841846adaf358dc05d5,Deep Learning for Multigrade Brain Tumor Classification in Smart Healthcare Systems: A Prospective Survey,2020.0,IEEE Transactions on Neural Networks and Learning Systems,"Computer Science,Medicine"
651644a5dbbe97cf69e4e64c0c6afb2b532c447d,Deep Learning for Hate Speech Detection in Tweets,2017.0,The Web Conference,Computer Science
e6c71df73d6a77f6fd88a0c70454fff46a32702d,Accelerating 3D deep learning with PyTorch3D,2019.0,SIGGRAPH Asia 2020 Courses,Computer Science
4c75b748911ddcd888c5122f7672f69caa5d661f,Statistical Learning Theory,2021.0,Technometrics,Computer Science
b16408a97170785fb216c9e8b7920d64f478fbc8,Deep Learning for Remote Sensing Data: A Technical Tutorial on the State of the Art,2016.0,IEEE Geoscience and Remote Sensing Magazine,Computer Science
6d431f835c06afdea45dff6b24486bf301ebdef0,An Overview of Multi-Task Learning in Deep Neural Networks,2017.0,arXiv.org,"Computer Science,Mathematics"
fd075bcdf2d7e13d23f7c249a8eded343d5bbe3b,Deep Graph Library: Towards Efficient and Scalable Deep Learning on Graphs,2019.0,arXiv.org,"Mathematics,Computer Science"
dfbeb3ca7a01fe80c49b76baa50bf092f71eef4a,A Survey of Deep Learning-Based Object Detection,2019.0,IEEE Access,Computer Science
44a97f4eaaefaf5338f8aed2913d5debb2459f7e,Deep Models Under the GAN: Information Leakage from Collaborative Deep Learning,2017.0,Conference on Computer and Communications Security,"Computer Science,Mathematics"
89213307256d538942fab6b4ac7ab0dee6936582,The rise of deep learning in drug discovery.,2018.0,Drug Discovery Today,"Medicine,Computer Science"
fdde9a63877db44c1b6a7f5cff5d47f01465e793,Point-Voxel CNN for Efficient 3D Deep Learning,2019.0,Neural Information Processing Systems,Computer Science
a326d9f2d2d351001fece788165dbcbb524da2e4,D4RL: Datasets for Deep Data-Driven Reinforcement Learning,2020.0,arXiv.org,"Computer Science,Mathematics"
6adeda1af8abc6bc3c17c0b39f635a845476cd9f,Deep learning for universal linear embeddings of nonlinear dynamics,2017.0,Nature Communications,"Computer Science,Mathematics,Medicine"
b7cf49e30355633af2db19f35189410c8515e91f,Deep Learning with Limited Numerical Precision,2015.0,International Conference on Machine Learning,"Computer Science,Mathematics"
354923bc917ac774438a048b87db9fabed4d757e,Deep learning for smart manufacturing: Methods and applications,2018.0,Journal of manufacturing systems,Computer Science
098076a2c90e42c81b843bf339446427c2ff02ed,Influence Functions in Deep Learning Are Fragile,2020.0,International Conference on Learning Representations,"Computer Science,Mathematics"
89f86a915245043e1ecd7a3c462945fdde171e7b,A Survey on Deep Learning for Human Mobility,2020.0,ACM Computing Surveys,Computer Science
9235d511dea04aa563a577ab236506b8eb8242ff,A Survey on Deep Transfer Learning,2018.0,International Conference on Artificial Neural Networks,"Computer Science,Mathematics"
ae523e2f137fa2a4f5a6cbcc443ba63db2642a96,Supervised Speech Separation Based on Deep Learning: An Overview,2017.0,IEEE/ACM Transactions on Audio Speech and Language Processing,"Computer Science,Medicine"
3136a798a0bf31e6e924eb2f78a90f71d089ca4a,Deep Fingerprinting: Undermining Website Fingerprinting Defenses with Deep Learning,2018.0,Conference on Computer and Communications Security,Computer Science
c0f17f99c44807762f2a386ac6579c364330e082,A Review on Deep Learning Techniques Applied to Semantic Segmentation,2017.0,arXiv.org,Computer Science
9207dab2492e8a95fe5e024998d58aea1bf23441,using Deep Learning,2020.0,,
dae0dd5afd58081d08e3310188a633cc09ef0651,A deep learning system for differential diagnosis of skin diseases,2019.0,Nature Network Boston,"Computer Science,Medicine,Engineering"
0ff8b16931a5fb1141a866e04941f8e9409e00e1,Deep learning can predict microsatellite instability directly from histology in gastrointestinal cancer,2019.0,Nature Network Boston,Medicine
